Country,Year,Bronze,Silver,Gold
Japan,2002,1,1,0
Japan,2006,0,0,1
Japan,2010,2,3,0
Kazakhstan,Total,2,3,1
Kazakhstan,1994,0,2,1
Kazakhstan,1998,2,0,0
Kazakhstan,2010,0,1,0
"Korea, North (PDR of Korea)",Total,1,1,0
"Korea, North (PDR of Korea)",1964,0,1,0
"Korea, North (PDR of Korea)",1992,1,0,0
"Korea, South",Total,8,14,23
"Korea, South",1992,1,1,2
"Korea, South",1994,1,1,4
"Korea, South",1998,2,1,3
"Korea, South",2002,0,2,2
"Korea, South",2006,2,3,6
"Korea, South",2010,2,6,6
Latvia,Total,1,2,0
Latvia,2006,1,0,0
Latvia,2010,0,2,0
Liechtenstein,Total,5,2,2
Liechtenstein,1976,2,0,0
Liechtenstein,1980,0,2,2
Liechtenstein,1984,2,0,0
Liechtenstein,1988,1,0,0
Luxembourg,Total,0,2,0
Luxembourg,1992,0,2,0
Netherlands,Total,26,31,29
Netherlands,1952,0,3,0
Netherlands,1960,1,1,0
Netherlands,1964,0,1,1
Netherlands,1968,3,3,3
Netherlands,1972,2,3,4
Netherlands,1976,3,2,1
Netherlands,1980,1,2,1
Netherlands,1988,2,2,3
Netherlands,1992,2,1,1
Netherlands,1994,3,1,0
Netherlands,1998,2,4,5
Netherlands,2002,0,5,3
Netherlands,2006,4,2,3
Netherlands,2010,3,1,4
New Zealand,Total,0,1,0
New Zealand,1992,0,1,0
Norway,Total,90,106,107
Norway,1924,6,7,4
Norway,1928,5,4,6
Norway,1932,3,4,3
Norway,1936,3,5,7
Norway,1948,3,3,4
Norway,1952,6,3,7
Norway,1956,1,1,2
Norway,1960,0,3,3
Norway,1964,6,6,3
Norway,1968,2,6,6
Norway,1972,5,5,2
Norway,1976,1,3,3
Norway,1980,6,3,1
Norway,1984,4,2,3
Norway,1988,2,3,0
Norway,1992,5,6,9
Norway,1994,5,11,10
Norway,1998,5,10,10
Norway,2002,7,5,13
Norway,2006,9,8,2
Norway,2010,6,8,9
Poland,Total,6,6,2
Poland,1956,1,0,0
Poland,1960,1,1,0
Poland,1972,0,0,1
Poland,2002,1,1,0
Poland,2006,1,1,0
Poland,2010,2,3,1
Romania,Total,1,0,0
Romania,1968,1,0,0
Russian Federation,Total,26,29,36
Russian Federation,1994,4,8,11
Russian Federation,1998,3,6,9
Russian Federation,2002,4,4,5
Russian Federation,2006,8,6,8
Russian Federation,2010,7,5,3
Slovakia,Total,1,2,1
Slovakia,2006,0,1,0
Slovakia,2010,1,1,1
Slovenia,Total,5,2,0
Slovenia,1994,3,0,0
Slovenia,2002,1,0,0
Slovenia,2010,1,2,0
Soviet Union,Total,59,57,78
Soviet Union,1956,6,3,7
Soviet Union,1960,9,5,7
Soviet Union,1964,6,8,11
Soviet Union,1968,3,5,5
Soviet Union,1972,3,5,8
Soviet Union,1976,8,6,13
Soviet Union,1980,6,6,10
Soviet Union,1984,9,10,6
Soviet Union,1988,9,9,11
Spain,Total,1,0,1
Spain,1972,0,0,1
Spain,1992,1,0,0
Sweden,Total,48,33,48
Sweden,1924,0,1,1
Sweden,1928,1,2,2
Sweden,1932,0,2,1
Sweden,1936,3,2,2
Sweden,1948,3,3,4
Sweden,1952,4,0,0
Sweden,1956,4,4,2
Sweden,1960,2,2,3
Sweden,1964,1,3,3
Sweden,1968,3,2,3
Sweden,1972,2,1,1
Sweden,1976,2,0,0
Sweden,1980,1,0,3
Sweden,1984,2,2,4
Sweden,1988,2,0,4
Sweden,1992,3,0,1
Sweden,1994,0,1,2
Sweden,1998,1,2,0
Sweden,2002,5,2,0
Sweden,2006,5,2,7
Sweden,2010,4,2,5
Switzerland,Total,46,37,44
Switzerland,1924,1,0,2
Switzerland,1928,1,0,0
Switzerland,1932,0,1,0
Switzerland,1936,0,2,1
Switzerland,1948,3,4,3
Switzerland,1952,2,0,0
Switzerland,1956,1,2,3
Switzerland,1960,0,0,2
Switzerland,1968,4,2,0
Switzerland,1972,3,3,4
Switzerland,1976,1,3,1
Switzerland,1980,3,1,1
Switzerland,1984,1,2,2
Switzerland,1988,5,5,5
Switzerland,1992,2,0,1
Switzerland,1994,2,4,3
Switzerland,1998,3,2,2
Switzerland,2002,6,2,3
Switzerland,2006,5,4,5
Switzerland,2010,3,0,6
Ukraine,Total,3,1,1
Ukraine,1994,1,0,1
Ukraine,1998,0,1,0
Ukraine,2006,2,0,0
United Kingdom (Great Britain),Total,10,3,9
United Kingdom (Great Britain),1924,2,1,1
United Kingdom (Great Britain),1928,1,0,0
United Kingdom (Great Britain),1936,1,1,1
United Kingdom (Great Britain),1948,2,0,0
United Kingdom (Great Britain),1952,0,0,1
United Kingdom (Great Britain),1964,0,0,1
United Kingdom (Great Britain),1976,0,0,1
United Kingdom (Great Britain),1980,0,0,1
United Kingdom (Great Britain),1984,0,0,1
United Kingdom (Great Britain),1994,2,0,0
United Kingdom (Great Britain),1998,1,0,0
United Kingdom (Great Britain),2002,1,0,1
United Kingdom (Great Britain),2006,0,1,0
United Kingdom (Great Britain),2010,0,0,1
United States,Total,71,95,87
United States,1924,1,2,1
United States,1928,2,2,2
United States,1932,2,4,6
United States,1936,3,0,1
United States,1948,2,4,3
United States,1952,1,6,4
United States,1956,2,3,2
United States,1960,3,4,3
United States,1964,3,2,1
United States,1968,1,5,1
United States,1972,3,2,3
United States,1976,4,3,3
United States,1980,2,4,6
United States,1984,0,4,4
United States,1988,3,1,2
United States,1992,2,4,5
United States,1994,2,5,6
United States,1998,4,3,6
United States,2002,11,13,10
United States,2006,7,9,9
United States,2010,13,15,9
United Team,Total,8,6,9
United Team,1992,8,6,9
United Team of Germany,Total,5,6,8
United Team of Germany,1956,1,0,1
United Team of Germany,1960,1,3,4
United Team of Germany,1964,3,3,3
Uzbekistan,Total,0,0,1
Uzbekistan,1994,0,0,1
West Germany,Total,13,15,13
West Germany,1952,0,0,2
West Germany,1968,3,2,2
West Germany,1972,1,1,3
West Germany,1976,3,5,2
West Germany,1980,3,2,0
West Germany,1984,1,1,2
West Germany,1988,2,4,2
Yugoslavia,Total,1,3,0
Yugoslavia,1984,0,1,0
Yugoslavia,1988,1,2,0
Grand Total,Total,849,858,859
